country,aid,trans,internet
Afghanistan,38050.72,1.5,4.5806699208
Albania,6149.08,3.1,49
Algeria,11260.96,2.9,14
Angola,9129.25,2,14.776
Argentina,4027.75,3,47.704
Armenia,4605.88,2.6,15.3
Azerbaijan,3372.96,2.4,50.7527432373
Bahamas,54.79,7.3,65
Bahrain,3281.87,5.1,77
Bangladesh,49050.16,2.7,5
Barbados,286.16,7.8,71.7657
Belarus,607.04,2.4,39.9613494775
Belize,780.78,7.5,12.7
Benin,9044.27,3,3.5
Bhutan,1856.06,5.7,21
Bolivia,17641.11,2.8,30
Bosnia-Herzegovina,11710.13,3.2,60
Botswana,4342.88,6.1,7
Brazil,10202.5,3.8,45
Brunei,47.98,5.2,56
Burkina Faso,15460.42,3,3
Burundi,8126.52,1.9,1.11
Cambodia,10712.07,2.1,3.1
Cameroon,17983.36,2.5,5
Cape Verde,3911.08,5.5,32
Central African Rep.,5009.26,2.2,2.2
Chad,8219.4,2,1.9
Chile,3924.72,7.2,53.8938
China,51985.42,3.6,38.3978870416
Colombia,11813.65,3.4,40.4
Comoros,1455,2.4,5.5
"Congo, Dem. Rep.",32791.58,2,1.2
"Congo, Rep.",7784.63,2.2,5.6
Costa Rica,3351.04,4.8,42.12
Cote d'Ivoire,18428.55,2.2,2.2
Croatia,2048.17,4,70.5264460177
Cuba,2197.42,4.2,23.23
Cyprus,985.94,6.3,57.68
Djibouti,3445.61,3,7
Dominica,642.33,5.2,51.3135
Dominican Republic,4186.35,2.6,35.5
Ecuador,5986.39,2.7,31.4
Egypt,74807.15,2.9,35.62
El Salvador,8740.07,3.4,17.68859598
Equatorial Guinea,1029.44,1.9,6
Eritrea,3418.77,2.5,6.2
Ethiopia,39544.48,2.7,1.1
Gabon,2729.45,3,8
Gambia,2405.68,3.5,10.8703
Georgia,6294.83,4.1,35.2806933928
Ghana,23306.04,3.9,14.11
Guatemala,7855.18,2.7,11.7274
Guinea,8145.05,2.1,1.3
Guinea-Bissau,3301.33,2.2,2.672
Guyana,3360.06,2.5,32
Haiti,13165.13,1.8,8.4
Honduras,12641.65,2.6,15.9
Hong Kong,353.54,8.4,75.0329390096
India,76892.49,3.1,10.07
Indonesia,48198.94,3,18
Iran,3934.2,2.7,21
Iraq,65479.66,1.8,4.9549454873
Israel,28432.15,5.8,68.1655974349
Jamaica,3960.17,3.3,31.988004097
Jordan,26503.01,4.5,35.7422582268
Kazakhstan,3644.38,2.7,44.0441800774
Kenya,25317.26,2.2,28
Kiribati,643.95,3.1,10
Korea (North),5055.27,1,0
Korea (South),1977.08,5.4,81.4639615782
Kuwait,97.25,4.6,74.2
Kyrgyz Republic,4643.01,2.1,19.5844561467
Laos,7879.71,2.2,9
Lebanon,10241.81,2.5,52
Lesotho,3615.76,3.5,4.2248
Liberia,7535.54,3.2,3
Libya,806.08,2,16.9981
Macao,11.66,5.1,58
Madagascar,14964.35,3,1.9
Malawi,14848.06,3,3.33
Malaysia,5053.24,4.3,61
Maldives,981.66,2.5,34
Mali,16696.3,2.8,2
Malta,887.24,5.6,69.0308427208
Mauritania,8915.53,2.4,4.5
Mauritius,1730.37,5.1,35.5082538329
Mexico,6437.35,3,36.15
Moldova,2657.47,2.9,37.8490677157
Mongolia,4399.08,2.7,20
Montenegro,509.01,4,40
Morocco,27269.21,3.4,51
Mozambique,32568.13,2.7,4.3
Myanmar (Burma),8013.08,1.5,0.98
Namibia,3778.16,4.4,12
Nepal,13423.24,2.2,9
Nicaragua,16810.19,2.5,10.6
Niger,12173.36,2.5,1.3
Nigeria,30776.58,2.4,28.43
Oman,4312.14,4.8,68
Pakistan,50825.89,2.5,9
Panama,1802.78,3.3,42.7
Papua New Guinea,12837.48,2.2,2
Paraguay,2981.86,2.2,23.9
Peru,12418.54,3.4,36.5
Philippines,23723.34,2.6,29
Qatar,42.38,7.2,86.2
Rwanda,13671.01,5,7
Samoa,1350.48,3.9,7
Sao Tome & Principe,1095.14,3,20.1612
Saudi Arabia,511.04,4.4,47.5
Senegal,20324.03,2.9,17.5
Serbia,13918.85,3.3,47.1929614929
Seychelles,766.81,4.8,43.6051807381
Sierra Leone,6780.01,2.5,0.3
Singapore,603.27,9.2,75.0612448637
Slovenia,580.41,5.9,71.4039298246
Solomon Islands,2782.65,2.7,6
Somalia,13138.37,1,1.25
South Africa,11071.78,4.1,20.9473704353
Sri Lanka,18844.79,3.3,15.1267866213
Sudan,30513.44,1.6,10.2
Suriname,2544.8,3,32
Swaziland,1587.56,3.1,20.4316581333
Syria,21161.19,2.6,22.4413474179
Taiwan,703.14,6.1,70
Tajikistan,3403.85,2.3,13.03
Tanzania,41769.68,3,12
Thailand,12972.6,3.4,23.7
Timor-Leste,2638.3,2.4,0.8831263394
Togo,5316.78,2.4,3.5
Tonga,850.59,3.1,25
Trinidad & Tobago,404.46,3.2,55.2
Tunisia,11251.02,3.8,38.8078874159
Turkey,18922.91,4.2,42.1
Turkmenistan,651.89,1.6,5
Uganda,24188.01,2.4,13.01354333
Ukraine,3343.02,2.3,30.2545942008
United Arab Emirates,197.94,6.8,70
Uruguay,1260.18,7,51.5741462539
Uzbekistan,2768,1.6,28.572794003
Vanuatu,1518.01,3.5,8
Venezuela,1500.19,1.9,40.4382729701
Vietnam,40552.37,2.9,35.4500831025
Yemen,14236.1,2.1,14.905
Zambia,23796.55,3.2,11.5
Zimbabwe,10879.04,2.2,15.7
